NOME;INSTITUICAO_ENSINO_ALUNO_2020;IDADE_ALUNO_2020;ANOS_PM_2020;FASE_TURMA_2020;PONTO_VIRADA_2020;INDE_2020;INDE_CONCEITO_2020;PEDRA_2020;DESTAQUE_IEG_2020;DESTAQUE_IDA_2020;DESTAQUE_IPV_2020;IAA_2020;IEG_2020;IPS_2020;IDA_2020;IPP_2020;IPV_2020;IAN_2020;FASE_2021;TURMA_2021;INSTITUICAO_ENSINO_ALUNO_2021;SINALIZADOR_INGRESSANTE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;REC_AVAL_1_2021;REC_AVAL_2_2021;REC_AVAL_3_2021;REC_AVAL_4_2021;PONTO_VIRADA_2021;IPV_2021;IAN_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021;FASE_2022;TURMA_2022;ANO_INGRESSO_2022;BOLSISTA_2022;INDE_2022;CG_2022;CF_2022;CT_2022;PEDRA_2022;DESTAQUE_IEG_2022;DESTAQUE_IDA_2022;DESTAQUE_IPV_2022;IAA_2022;IEG_2022;IPS_2022;IDA_2022;NOTA_PORT_2022;NOTA_MAT_2022;NOTA_ING_2022;QTD_AVAL_2022;IPP_2022;REC_AVAL_1_2022;REC_AVAL_2_2022;REC_AVAL_3_2022;REC_AVAL_4_2022;INDICADO_BOLSA_2022;PONTO_VIRADA_2022;IPV_2022;IAN_2022;NIVEL_IDEAL_2022
ALUNO-11;Escola Pública;8;0;0A;Sim;9,71;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9;10;8.125;1;1;1;10;1.0;A;Rede Decisão;Veterano;Topázio;8.990;9.0;10.0;6.3;8.8;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Sim;9.7;10.0;Nível 1 (4o ano);0.0;1.0;A;2020.0;Sim;8,46;40.0;5.0;1.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8;9,2;7.5;9,83;1;9,67;0;3.0;7,08;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;;Não;Sim;9,5;5.0;Fase 2 (5º e 6º ano)
ALUNO-12;Rede Decisão/União;14;3;3G;Não;5,84;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;6,25;6;5.625;6,67;5,63;5,28;5;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-13;;;;;;0;;;;;;0;;;0;0;0;;0.0;T;Escola Pública;Ingressante;Quartzo;3.413;8.0;0.0;7.5;0.8;0.0;Não avaliado;Não avaliado;Não avaliado;Não avaliado;Não;6.0;5.0;Nível 1 (4o ano);-1.0;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-14;Escola Pública;11;2;2M;Não;6,43;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8;7.6;6.875;0;8,44;7,92;10;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-15;Escola Pública;12;1;2D;Não;5,16;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8,5;4;7.5;0;8,13;7,25;5;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-16;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;1.0;P;2022.0;Não;7;489.0;129.0;9.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8,5;9,34;6.875;6,33;5,5;7,17;0;3.0;4,79;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;6,72;5.0;Fase 2 (5º e 6º ano)
ALUNO-17;Escola Pública;13;2;1G;Não;7,77;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9,5;6.8;7.5;1;6,56;7,75;5;1.0;G;Escola Pública;Veterano;Ágata;6.140;9.5;4.2;7.5;2.6;8.4;Não avaliado;Mantido na Fase atual;Mantido na Fase + Bolsa;Não avaliado;Não;8.8;5.0;Nível 3 (7o e 8o ano);-2.0;1.0;G;2018.0;Não;6,72;580.0;142.0;6.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9,5;6,65;7.5;5,5;4,33;6,67;0;2.0;5,94;Mantido na Fase atual;Promovido de Fase;;;Não;Não;7,5;5.0;Fase 3 (7º e 8º ano)
ALUNO-18;Escola Pública;14;3;3E;Não;7,21;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9,58;7;7.5;6,5;7,08;7,94;5;4.0;F;Escola Pública;Veterano;Ágata;5.666;10.0;3.3;6.3;5.3;7.7;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;Não;5.2;5.0;Nível 5 (1o EM);-1.0;4.0;H;2017.0;Não;5,85;746.0;68.0;7.0;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;0;6,29;8.125;5,22;3;4,83;7,83;4.0;7,81;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Sim;Não;7,25;5.0;Fase 6 (2º EM)
ALUNO-19;;;;;;0;;;;;;0;;;0;0;0;;2.0;C;Escola Pública;Ingressante;Ágata;6.751;9.0;6.3;7.5;4.6;7.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.3;5.0;Nível 3 (7o e 8o ano);-1.0;2.0;Q;2021.0;Não;7,84;188.0;29.0;2.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;1;9,05;7.5;7,47;6,77;8,17;0;3.0;6,67;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;;Não;Não;8,11;5.0;Fase 3 (7º e 8º ano)
ALUNO-20;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;0.0;Z;2022.0;Não;8,62;28.0;3.0;1.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;1;9,55;7.5;8,47;8,77;8,17;0;2.0;5,63;Promovido de Fase;Mantido na Fase atual;;;Não;Sim;8,5;10.0;ALFA  (2º e 3º ano)
ALUNO-21;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;3.0;N;2022.0;Não;5,65;771.0;114.0;13.0;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,92;5,65;5.0;5,17;5;6,17;4,33;3.0;7,03;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;;Não;Não;6,22;2.5;Fase 6 (2º EM)
ALUNO-22;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;0.0;Z;2022.0;Não;8,1;116.0;32.0;7.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8;8,98;7.5;9,25;9,53;8,97;0;2.0;4,69;Promovido de Fase;Mantido na Fase atual;;;Não;Não;7,17;10.0;ALFA  (2º e 3º ano)
ALUNO-23;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;1.0;U;2022.0;Não;7,78;208.0;51.0;3.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8;7,8;7.5;9,25;9,5;9;0;2.0;6,56;Promovido de Fase;Promovido de Fase;;;Não;Não;8,33;5.0;Fase 2 (5º e 6º ano)
ALUNO-24;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;2.0;A;2022.0;Não;8,27;66.0;6.0;1.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;1;9,32;6.875;6,75;6,33;7,17;0;3.0;6,46;Mantido na Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;;Sim;Sim;8,61;10.0;Fase 2 (5º e 6º ano)
ALUNO-25;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;0.0;Y;2022.0;Não;7,95;154.0;42.0;3.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,5;8,35;7.5;9,1;9,13;9,07;0;2.0;3,13;Promovido de Fase;Mantido na Fase atual;;;Não;Não;8,25;10.0;ALFA  (2º e 3º ano)
ALUNO-26;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;0.0;F;2022.0;Não;7,74;224.0;60.0;2.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;8,72;7.5;9,17;9,17;9,17;0;2.0;5,94;Promovido de Fase;Mantido na Fase atual;;;Não;Não;7,08;5.0;Fase 1 (4º ano)
ALUNO-27;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;2.0;M;2022.0;Não;6,35;668.0;122.0;9.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;6,49;7.5;4,58;2,33;6,83;0;3.0;5,63;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;7,11;5.0;Fase 4 (9º ano)
ALUNO-28;Rede Decisão/União;13;2;3J;Sim;9,35;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9,58;9.6;6.875;9;1;9,94;10;4.0;G;Rede Decisão;Ingressante;Topázio;9.079;8.3;9.2;7.5;8.8;9.4;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Sim;9.9;10.0;Nível 4 (9o ano);0.0;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-29;;;;;;0;;;;;;0;;;0;0;0;;3.0;D;Escola Pública;Ingressante;Ágata;6.342;9.6;5.3;7.5;3.8;7.5;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.9;5.0;Nível 5 (1o EM);-2.0;3.0;C;2021.0;Não;4,94;827.0;129.0;5.0;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;0;4,83;7.5;5,78;5,33;4;8;4.0;6,72;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;Não;5,71;2.5;Fase 6 (2º EM)
ALUNO-30;Escola Pública;7;0;0C;Não;7,13;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7,92;10;7.5;4,75;2,5;6,92;10;;;;;;;;;;;;;;;;;;;;;0.0;K;2022.0;Não;8,08;122.0;34.0;5.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;1;9,01;7.5;9,1;9,6;8,6;0;2.0;5,63;Promovido de Fase + Bolsa;Mantido na Fase atual;;;Sim;Não;8,25;5.0;Fase 1 (4º ano)
ALUNO-31;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;0.0;V;2022.0;Não;7,26;408.0;119.0;6.0;Ametista;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,92;7,32;7.5;7,47;7,6;7,33;0;2.0;5,31;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;6,67;10.0;ALFA  (2º e 3º ano)
ALUNO-32;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;7.0;D;2022.0;Não;6,79;558.0;12.0;7.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,92;8,33;7.5;4;8;0;0;4.0;7,34;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Sim;Não;7,75;5.0;Fase 8 (Universitários)
ALUNO-33;Escola Pública;13;0;3E;Não;7,01;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6,67;4.5;7.5;8,67;7,08;6,28;10;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-34;Escola Pública;12;2;2C;Não;7,7;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8,5;9.3;6.875;7;8,13;7,94;5;2.0;C;Escola Pública;Veterano;Ágata;6.129;6.9;2.9;7.5;5.5;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.7;5.0;Nível 3 (7o e 8o ano);-1.0;3.0;C;2018.0;Não;6,67;599.0;78.0;4.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,5;7,06;7.5;6,11;5;7,5;5,83;4.0;7,5;Promovido de Fase;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não;Não;6,42;5.0;Fase 4 (9º ano)
ALUNO-35;Escola Pública;18;3;7B;Não;6,64;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8,75;6.1;6.25;5;7,66;8,29;5;7.0;A;Escola Pública;Veterano;Topázio;8.416;9.2;9.4;7.5;8.2;8.4;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Sim;9.4;5.0;Nível 8 (Universitários);-1.0;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-36;Escola Pública;14;1;3C;Não;8,31;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9,58;9.9;7.5;8;8,75;8,22;5;3.0;C;Escola Pública;Veterano;Ágata;6.246;8.3;6.4;3.8;4.7;7.3;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.9;5.0;Nível 5 (1o EM);-2.0;4.0;B;2019.0;Não;6,85;538.0;46.0;8.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;5,83;8,07;6.25;5,88;5;7,17;5,47;4.0;7,97;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Sim;Não;7,79;5.0;Fase 6 (2º EM)
ALUNO-37;Escola Pública;10;2;2N;Não;6,68;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;1;7.7;4.375;2,5;6,46;7,78;10;2.0;N;Escola Pública;Veterano;Ágata;6.154;0.0;5.4;6.9;6.5;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.7;10.0;Nível 2 (5o e 6o ano);0.0;2.0;L;2018.0;Não;7,56;292.0;45.0;8.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,5;9,04;7.5;7,33;6,5;8,17;0;3.0;6,25;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;7,78;5.0;Fase 3 (7º e 8º ano)
ALUNO-38;;;;;;0;;;;;;0;;;0;0;0;;3.0;L;Escola Pública;Ingressante;Ágata;6.847;3.8;6.9;7.5;5.1;7.5;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.8;10.0;Nível 3 (7o e 8o ano);0.0;3.0;K;2021.0;Não;6,7;590.0;77.0;11.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9,17;6,72;6.25;5,67;7;6,83;3,17;4.0;7,34;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase + Bolsa;Sim;Não;7,21;5.0;Fase 4 (9º ano)
ALUNO-39;Escola Pública;13;3;3F;Não;8,13;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6,25;9.4;7.5;8,33;8,54;6,78;10;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-40;;;;;;0;;;;;;0;;;0;0;0;;5.0;B;Escola Pública;Ingressante;Ametista;7.334;9.2;7.8;7.5;6.0;8.3;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;8.0;5.0;Nível 6 (2o EM);-1.0;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
